listing_id,lat,lon,city_center,city_center_lat,city_center_lon,haversine_km,travel_time_min
3830182732,50.094357,14.365571,10,50.088,14.4208,4.0,11.0
537736012,50.091553,14.434231,10,50.088,14.4208,1.04,5.1
2410754892,50.091553,14.434231,10,50.088,14.4208,1.04,5.1
4225561420,50.09321,14.512638,10,50.088,14.4208,6.58,14.6
2570720076,50.143497,14.433625,10,50.088,14.4208,6.24,17.9
3635090252,50.075784,14.43196,10,50.088,14.4208,1.57,7.4
4101624652,50.076667,14.416531,10,50.088,14.4208,1.3,5.7
3731572044,50.055409,14.382576,10,50.088,14.4208,4.54,13.2
1294906188,50.036015,14.480887,11,50.0406,14.5567,5.44,12.1
4291097420,50.056345,14.463106,10,50.088,14.4208,4.64,12.7
557159244,50.075456,14.438059,10,50.088,14.4208,1.86,8.7
2425168716,50.079286,14.487914,10,50.088,14.4208,4.89,13.1
1796268876,50.127716,14.502557,10,50.088,14.4208,7.31,15.4
1902977868,50.093393,14.489673,10,50.088,14.4208,4.95,12.2
2207114060,50.123719,14.471305,10,50.088,14.4208,5.36,12.5
3430818636,50.027897,14.363583,10,50.088,14.4208,7.83,18.4
3333235532,50.070507,14.406563,10,50.088,14.4208,2.19,8.2
4013695820,50.10556,14.379861,10,50.088,14.4208,3.51,10.3
676520780,50.099213,14.355966,10,50.088,14.4208,4.79,13.5
3053331276,50.027388,14.49074,11,50.0406,14.5567,4.93,11.6
2112279372,50.079574,14.645636,11,50.0406,14.5567,7.69,16.7
1111565132,50.137724,14.507786,10,50.088,14.4208,8.31,17.3
232272716,50.067712,14.406675,10,50.088,14.4208,2.47,8.1
4185793356,50.027897,14.363583,10,50.088,14.4208,7.83,18.4
3246924620,50.056825,14.494675,11,50.0406,14.5567,4.78,10.6
264692556,50.071453,14.408455,10,50.088,14.4208,2.04,7.3
1141052236,50.083713,14.503876,10,50.088,14.4208,5.95,15.3
702272332,50.084651,14.415649,10,50.088,14.4208,0.52,4.4
1269822284,50.069603,14.473694,10,50.088,14.4208,4.29,14.0
916534092,50.052191,14.459638,10,50.088,14.4208,4.85,14.5
3398513484,50.053021,14.409772,10,50.088,14.4208,3.97,9.7
854340428,50.108887,14.62131,11,50.0406,14.5567,8.88,20.0
435044940,50.050834,14.338772,10,50.088,14.4208,7.17,18.3
2786341708,50.087784,14.502275,10,50.088,14.4208,5.81,15.2
2771596108,50.104045,14.515835,10,50.088,14.4208,7.01,14.5
3446522700,50.099269,14.482401,10,50.088,14.4208,4.57,10.6
629093196,50.08703,14.471018,10,50.088,14.4208,3.58,10.6
1033188172,50.109761,14.448238,10,50.088,14.4208,3.11,9.5
1707094860,50.038501,14.518726,11,50.0406,14.5567,2.72,7.0
3165991756,50.030185,14.361911,10,50.088,14.4208,7.68,18.6
636695372,50.061349,14.556431,11,50.0406,14.5567,2.31,6.9
2282632012,50.014654,14.438012,10,50.088,14.4208,8.25,19.1
1726034764,50.053021,14.409772,10,50.088,14.4208,3.97,9.7
3454153548,50.084162,14.431126,10,50.088,14.4208,0.85,7.4
1883247436,50.061984,14.440518,10,50.088,14.4208,3.22,10.3
1742779212,50.036015,14.480887,11,50.0406,14.5567,5.44,12.1
3611210572,50.012008,14.412961,10,50.088,14.4208,8.47,18.9
2399949388,50.096536,14.402792,10,50.088,14.4208,1.6,6.1
2934453068,50.076288,14.451951,10,50.088,14.4208,2.58,9.4
4045443916,50.037574,14.557911,11,50.0406,14.5567,0.35,1.5
3575059276,50.124008,14.485783,10,50.088,14.4208,6.12,14.4
94163788,50.071193,14.503551,11,50.0406,14.5567,5.1,12.5
1795830604,50.04096,14.448236,10,50.088,14.4208,5.59,14.4
193672012,50.078386,14.4563,10,50.088,14.4208,2.75,9.8
1790301004,50.092355,14.482957,10,50.088,14.4208,4.46,12.3
1998897996,50.084741,14.407188,10,50.088,14.4208,1.04,6.6
2363867980,50.014654,14.438012,10,50.088,14.4208,8.25,19.1
2574631756,50.06181,14.43802,10,50.088,14.4208,3.16,10.2
820101964,50.026624,14.523853,11,50.0406,14.5567,2.81,6.8
3921875788,50.056464,14.434408,10,50.088,14.4208,3.64,10.7
4046004812,50.066536,14.553278,11,50.0406,14.5567,2.89,8.4
465355596,50.014978,14.437129,10,50.088,14.4208,8.2,19.3
1454887756,50.093418,14.488429,10,50.088,14.4208,4.86,12.7
583844684,50.044492,14.33215,10,50.088,14.4208,7.97,18.7
1560707916,50.067457,14.462169,10,50.088,14.4208,3.73,11.8
2309964364,50.052291,14.455421,10,50.088,14.4208,4.68,15.7
3066598220,50.065934,14.502842,11,50.0406,14.5567,4.77,11.2
1884013388,50.043688,14.44515,10,50.088,14.4208,5.22,13.7
995512908,50.153699,14.530779,10,50.088,14.4208,10.72,19.7
943858508,50.083666,14.415094,10,50.088,14.4208,0.63,3.8
139797324,50.103975,14.50814,10,50.088,14.4208,6.48,13.7
2417013580,50.036015,14.480887,11,50.0406,14.5567,5.44,12.1
3567993420,50.104338,14.485522,10,50.088,14.4208,4.96,10.8
565076556,50.067104,14.550256,11,50.0406,14.5567,2.98,8.5
2621596236,50.048999,14.342595,10,50.088,14.4208,7.07,18.0
269316684,50.040887,14.565903,11,50.0406,14.5567,0.66,3.0
2283930188,50.099112,14.468834,10,50.088,14.4208,3.64,9.3
2651992652,50.048462,14.430566,10,50.088,14.4208,4.45,12.4
1855705676,50.071957,14.385515,10,50.088,14.4208,3.09,12.4
4050609484,50.078928,14.457646,10,50.088,14.4208,2.82,10.0
2829230668,50.060715,14.401836,10,50.088,14.4208,3.32,10.3
3967345484,50.054769,14.28542,10,50.088,14.4208,10.34,22.7
216257356,50.003557,14.412346,10,50.088,14.4208,9.41,19.5
3987592012,50.097457,14.349272,10,50.088,14.4208,5.21,14.3
1836184396,50.027743,14.360994,10,50.088,14.4208,7.94,18.8
1758028,50.053021,14.409772,10,50.088,14.4208,3.97,9.7
3572224844,50.022468,14.524235,11,50.0406,14.5567,3.07,10.0
3829375820,50.034392,14.590517,11,50.0406,14.5567,2.51,6.5
1573380940,50.051564,14.456891,10,50.088,14.4208,4.8,12.5
1517359948,50.084998,14.45125,10,50.088,14.4208,2.2,8.0
1226695500,50.005982,14.486355,11,50.0406,14.5567,6.33,15.3
