osm_id,name,latitude,longitude,poi_kind,raw_main_tag
node/2447590175,Jednota Coop,48.9543584,17.1429483,convenience,shop=convenience
node/8071036624,Coop,48.9548869,16.9984067,convenience,shop=convenience
node/996927487,Coop Tuty,48.9568324,13.7584786,convenience,shop=convenience
node/2806457098,Coop,48.9652612,16.608366,convenience,shop=convenience
way/72236197,Coop,48.9659966,14.4799708,convenience,shop=convenience
way/283895362,COOP Jednota,48.9679565,17.5855467,convenience,shop=convenience
way/283897200,COOP Jednota,48.9690327,17.5888666,convenience,shop=convenience
node/8072243110,COOP Jednota,48.9690572,17.0865563,convenience,shop=convenience
node/5153713729,Můj obchod,48.9709485,17.2745759,convenience,shop=convenience
node/9423767222,Coop,48.9714753,14.4970703,convenience,shop=convenience
way/503110023,Viva,48.9726272,14.4659556,convenience,shop=convenience
node/13573712887,Fresh Corner,48.9739319,14.4647073,convenience,shop=convenience
node/13392415860,Fresh Corner,48.9751767,17.3010798,convenience,shop=convenience
way/312382362,COOP Jednota,48.9762117,17.7609542,convenience,shop=convenience
way/124422410,COOP Jednota,48.9765918,17.6449671,convenience,shop=convenience
node/7929528072,Můjobchod,48.9775053,14.4741371,convenience,shop=convenience
node/831644807,Žabka,48.9780656,14.4693672,convenience,shop=convenience
node/12768200996,Coop,48.9819986,17.155565,convenience,shop=convenience
node/9798645721,Můj Obchod,48.9845886,17.3889658,convenience,shop=convenience
way/283735004,Hruška,48.9882202,17.7175772,convenience,shop=convenience
node/13017036304,Stop Cafe,48.9885472,16.5360062,convenience,shop=convenience
node/8070880067,Coop,48.9889094,16.9100862,convenience,shop=convenience
way/70856215,Stop Cafe,48.9896081,14.4590165,convenience,shop=convenience
node/9424025611,Coop,48.989829,14.4549743,convenience,shop=convenience
node/3979683279,Coop,48.991763,16.6758925,convenience,shop=convenience
node/8158951170,Coop,48.9921245,16.754303,convenience,shop=convenience
node/13573775785,Fresh Corner,48.9924403,14.4697926,convenience,shop=convenience
way/81110994,Stop Cafe,48.9964048,15.3491513,convenience,shop=convenience
node/12862481588,Billa stop & shop,48.9976078,14.4810665,convenience,shop=convenience
node/3222227067,Coop,49.000187,16.7199521,convenience,shop=convenience
way/37377417,Stop Cafe,49.0012591,14.0116539,convenience,shop=convenience
node/2404901870,Coop,49.003484,14.7614506,convenience,shop=convenience
node/7091827203,Coop,49.0038653,16.3074485,convenience,shop=convenience
way/94407516,COOP Jednota,49.0046423,17.4352304,convenience,shop=convenience
node/13017111990,Stop Cafe,49.0060547,17.1056074,convenience,shop=convenience
way/189305998,Hruška,49.0094297,17.0476099,convenience,shop=convenience
node/6599022787,Flop,49.0106685,13.9954817,convenience,shop=convenience
way/98637060,Coop,49.0119205,16.6561546,convenience,shop=convenience
way/231379058,Stop Cafe,49.0119932,14.7880278,convenience,shop=convenience
node/12638045537,Stop Cafe,49.0126456,14.0048576,convenience,shop=convenience
way/513312275,MOL Shop,49.0165997,14.0132272,convenience,shop=convenience
way/115644344,MOL Shop,49.0176438,14.7555028,convenience,shop=convenience
node/5610724441,Potraviny - koloniál Kubíková,49.0201134,15.1014585,convenience,shop=convenience
way/308473116,COOP Jednota,49.023171,17.7795396,convenience,shop=convenience
way/282653864,COOP Jednota,49.0291897,17.3497397,convenience,shop=convenience
way/284771393,COOP Jednota,49.031583,17.3008716,convenience,shop=convenience
node/7091879681,COOP Jednota,49.0324088,16.1063749,convenience,shop=convenience
way/282653817,Hruška,49.0325885,17.3456831,convenience,shop=convenience
way/321257093,COOP Jednota,49.037017,16.3212541,convenience,shop=convenience
way/373589869,COOP Jednota,49.0391893,16.2069452,convenience,shop=convenience
node/6919561798,Brněnka,49.0393452,16.5860831,convenience,shop=convenience
node/3770263431,Coop,49.0418895,16.3091161,convenience,shop=convenience
node/13535807690,Coop,49.044014,16.3150139,convenience,shop=convenience
way/87419824,COOP Jednota,49.047307,17.5809244,convenience,shop=convenience
node/3770263430,Coop,49.0487208,16.3118631,convenience,shop=convenience
node/10738239850,Coop Tuty,49.0500802,14.1966207,convenience,shop=convenience
node/13573326588,Fresh Corner,49.0502843,17.465847,convenience,shop=convenience
node/13293885380,Stop Cafe,49.0504112,14.4297872,convenience,shop=convenience
way/414830562,COOP Jednota,49.0514983,17.2702073,convenience,shop=convenience
node/6415577310,Coop,49.0515204,17.122585,convenience,shop=convenience
node/3971800421,HRUŠKA,49.0548752,16.6509856,convenience,shop=convenience
way/91927398,Stop Cafe,49.0569,15.8039155,convenience,shop=convenience
way/312112827,Robin Oil,49.0586383,13.7846467,convenience,shop=convenience
node/13586291204,Stop Cafe,49.0588441,17.4659042,convenience,shop=convenience
node/885327365,Hruška,49.0601524,17.4778257,convenience,shop=convenience
way/188387788,Coop,49.0601667,15.0739406,convenience,shop=convenience
node/2404073690,COOP Jednota,49.0618814,14.7550483,convenience,shop=convenience
node/698973956,COOP Jednota,49.0619473,17.3505499,convenience,shop=convenience
node/8170916235,Brněnka,49.0635917,16.7532424,convenience,shop=convenience
node/1569136087,Hruška,49.0657763,17.0555732,convenience,shop=convenience
way/1006733293,Stop Cafe,49.0668253,13.7821236,convenience,shop=convenience
way/232299537,Fresh Corner,49.0680675,14.8931058,convenience,shop=convenience
node/13520014248,Coop,49.0688904,17.475094,convenience,shop=convenience
way/315900223,Jednota Coop,49.0694191,17.9754857,convenience,shop=convenience
node/4855043422,COOP Jednota,49.0721761,16.2573812,convenience,shop=convenience
way/58414891,Stop Cafe,49.0819524,15.4198241,convenience,shop=convenience
node/3472864762,Coop,49.0829718,15.6953291,convenience,shop=convenience
way/106689393,Hruška,49.0834745,17.8844215,convenience,shop=convenience
node/12247812051,Coop,49.0849654,16.3199625,convenience,shop=convenience
way/263511406,COOP Jednota,49.0858748,17.537426,convenience,shop=convenience
node/4778792885,Coop Konzum,49.0872417,13.4806133,convenience,shop=convenience
node/5614174420,EuroOil,49.0872936,14.7156914,convenience,shop=convenience
node/12320056411,Stop Cafe,49.0892427,15.4371252,convenience,shop=convenience
node/1880472202,Hruška,49.0894213,17.873625,convenience,shop=convenience
way/160388960,COOP Jednota,49.0940424,17.3548192,convenience,shop=convenience
way/398624836,COOP Jednota,49.0965135,13.8155618,convenience,shop=convenience
way/272567652,COOP Jednota,49.0997886,17.5482922,convenience,shop=convenience
way/171466165,COOP Jednota,49.1000151,17.5151038,convenience,shop=convenience
way/160210475,COOP Jednota,49.1006338,17.5905559,convenience,shop=convenience
node/9405913180,CBA,49.1015541,16.3755534,convenience,shop=convenience
node/2816922742,Coop,49.1016378,16.3680497,convenience,shop=convenience
way/255814264,COOP Jednota,49.1057842,17.6198504,convenience,shop=convenience
node/3645032351,Hruška,49.1064666,17.1629998,convenience,shop=convenience
node/8757665825,Hruška,49.1092588,17.8427001,convenience,shop=convenience
way/318823444,COOP Jednota,49.1097259,17.6683848,convenience,shop=convenience
way/393190167,Stop Cafe,49.1120245,16.3765878,convenience,shop=convenience
way/153216442,COOP Jednota,49.1147811,13.827955,convenience,shop=convenience
node/7740971066,COOP Jednota,49.1149257,13.9314191,convenience,shop=convenience
node/11012856179,Můj obchod,49.1156817,14.7018083,convenience,shop=convenience
node/11014539984,COOP Jednota,49.1174428,14.7320204,convenience,shop=convenience
node/13592806149,Coop,49.1181735,17.4266668,convenience,shop=convenience
node/12691165367,Coop Jednota,49.1208084,17.5805315,convenience,shop=convenience
node/10805189284,one1 - Alžbětín,49.1248642,13.2099466,convenience,shop=convenience
way/240827749,COOP Jednota,49.1251544,17.9390984,convenience,shop=convenience
node/12870730100,Brněnka,49.130032,16.8565823,convenience,shop=convenience
way/157154125,COOP Jednota,49.1315054,17.4364991,convenience,shop=convenience
way/49086098,Coop,49.1386094,15.0030195,convenience,shop=convenience
way/109286285,Stop Cafe,49.138976,13.2280052,convenience,shop=convenience
node/12959406893,Můjobchod,49.1415686,16.9110142,convenience,shop=convenience
node/2077488902,Obecní prodejna Neslovice,49.1430198,16.3871022,convenience,shop=convenience
node/4778792886,Coop Tuty,49.1436972,13.5549796,convenience,shop=convenience
node/2200660112,Coop,49.1506421,16.8812546,convenience,shop=convenience
node/2444398957,COOP Jednota,49.1519106,14.22897,convenience,shop=convenience
node/13294049306,Viva,49.1532916,16.6294042,convenience,shop=convenience
way/255950031,Hruška,49.1547845,17.3869625,convenience,shop=convenience
node/9434956352,Hruška,49.1578439,16.8827879,convenience,shop=convenience
node/7095658227,COOP Jednota,49.1626044,16.0133595,convenience,shop=convenience
node/13607360443,Šenk,49.1654789,16.7871307,convenience,shop=convenience
node/5884857145,Potraviny Hubený,49.169091,14.578964,convenience,shop=convenience
way/119279194,COOP Jednota,49.1693362,17.6030568,convenience,shop=convenience
node/4896970561,Coop Konzum,49.1696708,13.4547257,convenience,shop=convenience
way/93833971,Stop Cafe,49.172555,13.8925853,convenience,shop=convenience
node/7006423057,Coop,49.1786348,13.6401653,convenience,shop=convenience
node/13022527750,Fresh Corner,49.1792274,15.2808978,convenience,shop=convenience
node/12731837169,Můj obchod,49.1822021,16.6000651,convenience,shop=convenience
node/6853467867,Hruška,49.1823112,16.2391899,convenience,shop=convenience
node/925701534,Jednota,49.1831251,16.2864798,convenience,shop=convenience
way/55167040,Stop Cafe,49.1877896,16.6229823,convenience,shop=convenience
node/12466626311,Můjobchod.cz - Pod schody,49.1882202,16.6421368,convenience,shop=convenience
node/9542982538,Žabka,49.1892798,16.6045517,convenience,shop=convenience
node/3528437387,Brněnka,49.1896945,16.5859932,convenience,shop=convenience
node/4585809292,Můj Obchod,49.1911148,16.624422,convenience,shop=convenience
node/12142343725,Brněnka,49.1912284,16.6209286,convenience,shop=convenience
node/10082219759,Billa,49.1912974,16.6134491,convenience,shop=convenience
node/2300967875,Brněnka,49.1920322,16.6023296,convenience,shop=convenience
node/3505153989,Můj obchod,49.1922916,16.6025656,convenience,shop=convenience
way/289955826,Shell,49.1934379,17.5315307,convenience,shop=convenience
node/6893462566,COOP Jednota,49.1946016,13.506083,convenience,shop=convenience
node/978921611,Jednota,49.195157,16.3043334,convenience,shop=convenience
node/1739033090,Globus Fresh,49.195266,16.6138428,convenience,shop=convenience
node/1758910036,Robin Oil,49.1984823,13.5069816,convenience,shop=convenience
node/2411002606,Brněnka,49.2002547,16.6007642,convenience,shop=convenience
node/2037842221,Brněnka,49.2006692,16.6141114,convenience,shop=convenience
node/12751870511,Fresh Corner,49.2019176,16.6670943,convenience,shop=convenience
node/5903902628,Potraviny Na Vranovské,49.2023586,16.626004,convenience,shop=convenience
node/2275151757,Hruška,49.203175,16.8796603,convenience,shop=convenience
node/12199185820,Brněnka,49.2048187,16.6238805,convenience,shop=convenience
node/3988644651,Potraviny Bacom,49.2049257,16.59553,convenience,shop=convenience
node/7006006927,Coop Konzum,49.206647,13.6847191,convenience,shop=convenience
way/231535750,COOP Jednota,49.2083658,14.6439125,convenience,shop=convenience
node/13573581160,Fresh Corner,49.2101982,15.8586948,convenience,shop=convenience
node/10006449302,Brněnka,49.210515,16.6332097,convenience,shop=convenience
node/13294043829,Viva,49.2157681,16.6051449,convenience,shop=convenience
way/57902475,COOP Jednota,49.2172123,17.7463937,convenience,shop=convenience
node/3467344118,Potraviny Rapo,49.2182282,16.6217465,convenience,shop=convenience
node/8338458548,Brněnka,49.218625,16.5546275,convenience,shop=convenience
way/288342860,Jednota - COOP,49.2212399,17.9138854,convenience,shop=convenience
way/48255515,Stop Cafe,49.2214081,16.5827747,convenience,shop=convenience
node/7615104561,Billa stop & shop,49.2220137,16.6268404,convenience,shop=convenience
node/2038911347,Brněnka Olbrachtovo Náměstí,49.224382,16.557791,convenience,shop=convenience
node/12688139346,Kralupol,49.2251479,13.5120484,convenience,shop=convenience
way/231535540,Stop Cafe,49.2275779,14.7211032,convenience,shop=convenience
node/3780226884,U Martina,49.2319712,16.618149,convenience,shop=convenience
node/2905388782,Hruška,49.2371503,17.6696257,convenience,shop=convenience
node/11206953299,Shell,49.2388349,17.8789736,convenience,shop=convenience
way/60044756,COOP Jednota,49.2423073,17.4704042,convenience,shop=convenience
node/3954921008,Jednota,49.2433976,15.5601002,convenience,shop=convenience
node/7650000432,Coop,49.2448958,13.5376401,convenience,shop=convenience
node/12473503720,Coop,49.2490976,15.8027739,convenience,shop=convenience
node/4910586421,Hruška,49.2536103,17.4973256,convenience,shop=convenience
way/205708329,Hruška,49.2566053,17.4466711,convenience,shop=convenience
node/13604896139,Viva,49.2572691,13.9139005,convenience,shop=convenience
node/9507798579,COOP Jednota,49.2580383,13.850065,convenience,shop=convenience
node/559879732,COOP Jednota,49.260157,14.7187565,convenience,shop=convenience
node/2299356256,Coop,49.2631428,13.9014065,convenience,shop=convenience
way/42439564,Tesco,49.2633882,14.7136167,convenience,shop=convenience
node/9751673887,Coop Tuty,49.263487,13.9073398,convenience,shop=convenience
node/13395181035,Stop Cafe,49.2645662,16.9773436,convenience,shop=convenience
node/13395181060,Viva,49.2650522,16.9764347,convenience,shop=convenience
way/244537711,Stop Cafe,49.2747911,13.0685832,convenience,shop=convenience
node/1802534711,Hruška,49.2767007,16.9515945,convenience,shop=convenience
way/216973674,Můjobchod,49.2858873,17.282866,convenience,shop=convenience
node/7335597989,Coop Konzum,49.2885357,13.3780581,convenience,shop=convenience
node/4259359488,Hruška,49.2898396,16.5757512,convenience,shop=convenience
way/338150164,COOP Jednota,49.2952584,14.6215237,convenience,shop=convenience
node/2552267914,Jednota,49.2961983,15.0753099,convenience,shop=convenience
way/115752580,Coop,49.2963232,13.1491245,convenience,shop=convenience
node/3664424626,COOP Jednota,49.2976478,16.7438564,convenience,shop=convenience
node/1995713340,Jednota,49.2987201,14.4710009,convenience,shop=convenience
node/440962040,Coop,49.3017519,17.3782452,convenience,shop=convenience
node/818626763,COOP Jednota,49.3033791,14.7187997,convenience,shop=convenience
way/93497580,Coop,49.3034329,14.159086,convenience,shop=convenience
node/3774677323,COOP Jednota,49.3041815,18.0627609,convenience,shop=convenience
way/255242961,COOP Jednota,49.3049006,17.9578081,convenience,shop=convenience
node/13002050496,Viva,49.3062606,17.4056307,convenience,shop=convenience
node/5412790475,COOP Jednota,49.3130307,14.1458819,convenience,shop=convenience
way/93503483,COOP Jednota,49.3144686,14.1507242,convenience,shop=convenience
node/1189035727,Jednota,49.3160386,14.2467391,convenience,shop=convenience
node/673705196,COOP Jednota,49.3162034,14.6467241,convenience,shop=convenience
node/7400670269,COOP Jednota,49.3176321,18.1464422,convenience,shop=convenience
node/13512160485,EuroOil,49.3194814,17.4606414,convenience,shop=convenience
node/10771044963,EuroOil,49.3200094,17.2595207,convenience,shop=convenience
node/5825911895,Coop Tuty,49.3207844,13.70017,convenience,shop=convenience
node/10771044993,EuroOil,49.3208789,17.261918,convenience,shop=convenience
node/13118806929,Stop Cafe,49.3223662,17.5900047,convenience,shop=convenience
node/11672374927,Coop Tuty,49.3251564,13.7075836,convenience,shop=convenience
node/11226895735,COOP Jednota,49.3252115,17.4944901,convenience,shop=convenience
node/13118881116,Stop Cafe,49.3254477,17.5521015,convenience,shop=convenience
way/116060488,Stop Cafe,49.3289986,18.0013455,convenience,shop=convenience
node/13001995378,Stop Cafe,49.3310688,15.5776361,convenience,shop=convenience
node/5061554418,Coop,49.3313493,17.5680685,convenience,shop=convenience
node/6219626954,Brněnka,49.3321337,16.4769848,convenience,shop=convenience
node/13511892676,Potraviny Žopy,49.3324279,17.6110795,convenience,shop=convenience
node/413629304,COOP,49.3334341,14.8390148,convenience,shop=convenience
node/7398642164,COOP Jednota,49.3339669,18.1785291,convenience,shop=convenience
node/4200691408,COOP Jednota,49.3364359,18.0224037,convenience,shop=convenience
way/55934538,Coop,49.3373535,16.7247975,convenience,shop=convenience
node/7399811296,COOP Jednota,49.3387035,18.2011078,convenience,shop=convenience
way/256626574,COOP Jednota,49.3571206,17.1400138,convenience,shop=convenience
